UP_id	tax_group
UniRef50_A0A2D6TPV0	Bacteria
UniRef50_A0A2D6TPW7	Bacteria
UniRef50_A0A2D6TRM3	Bacteria
UniRef50_A0A2D6TSJ2	Bacteria
UniRef50_A0A2D6TSY3	Bacteria
UniRef50_A0A2D6TT40	Bacteria
UniRef50_A0A2D6TUA6	Bacteria
UniRef50_A0A2D6TXX7	Archaea
UniRef50_A0A2D6TXY7	Archaea
UniRef50_A0A2D6TXY9	Archaea
UniRef50_A0A2D6TY40	Archaea
UniRef50_A0A2D6TZJ2	Archaea
UniRef50_A0A2D6TZP3	Archaea
UniRef50_A0A2D6TZY9	Archaea
UniRef50_A0A2D6TZZ2	Archaea
UniRef50_A0A2D6U007	Archaea
UniRef50_A0A2D6U021	Archaea
UniRef50_A0A2D6U0C0	Archaea
UniRef50_A0A2D6U0J0	Archaea
UniRef50_A0A2D6U0J8	Archaea
UniRef50_A0A2D6U0M6	Archaea
UniRef50_A0A2D6U0Q7	Archaea
UniRef50_A0A2D6U0Y1	Archaea
UniRef50_A0A2D6U1G3	Archaea
UniRef50_A0A2D6U1J6	Archaea
UniRef50_A0A2D6U1T6	Archaea
UniRef50_A0A2D6U1X2	Archaea
UniRef50_A0A2D6U2I2	Archaea
UniRef50_A0A2D6U2I8	Archaea
UniRef50_A0A2D6U5M6	Archaea
UniRef50_A0A2D6UH88	Bacteria
UniRef50_A0A2D6V061	Bacteria
UniRef50_A0A2D6V069	Bacteria
UniRef50_A0A2D6V073	Bacteria
UniRef50_A0A2D6V0G4	Bacteria
UniRef50_A0A2D6V1W3	Bacteria
UniRef50_A0A2D6V2I1	Bacteria
UniRef50_A0A2D6V2Q6	Bacteria
UniRef50_A0A2D6V3S8	Bacteria
UniRef50_A0A2D6V8T0	Bacteria
UniRef50_A0A2D6VF56	Bacteria
UniRef50_A0A2D6VF84	Bacteria
UniRef50_A0A2D6VFB1	Bacteria
UniRef50_A0A2D6VFC6	Bacteria
UniRef50_A0A2D6VGN2	Bacteria
UniRef50_A0A2D6VHC1	Bacteria
UniRef50_A0A2D6VKY0	Bacteria
UniRef50_A0A2D6VSG5	Archaea
UniRef50_A0A2D6VSM5	Archaea
UniRef50_A0A2D6VTT4	Archaea
UniRef50_A0A2D6VU33	Archaea
UniRef50_A0A2D6VU61	Archaea
UniRef50_A0A2D6W0P3	Bacteria
UniRef50_A0A2D6WDB1	Bacteria
UniRef50_A0A2D6WE71	Bacteria
UniRef50_A0A2D6WN31	Bacteria
UniRef50_A0A2D6WTQ6	Bacteria
UniRef50_A0A2D6WTZ5	Archaea
UniRef50_A0A2D6WVE0	Archaea
UniRef50_A0A2D6WVF8	Archaea
UniRef50_A0A2D6WVG7	Archaea
UniRef50_A0A2D6WVG9	Archaea
UniRef50_A0A2D6WVS0	Archaea
